iter	Passed	Remaining
429	1764	2338
430	1767	2332
431	1770	2327
432	1776	2326
433	1781	2322
434	1785	2319
435	1789	2314
436	1795	2312
437	1798	2308
438	1802	2303
439	1806	2298
440	1811	2296
441	1816	2293
442	1820	2289
443	1828	2289
444	1831	2283
445	1834	2278
446	1838	2273
447	1844	2272
448	1847	2267
449	1850	2261
450	1853	2256
451	1860	2255
452	1863	2250
453	1867	2245
454	1872	2242
455	1876	2238
456	1880	2234
457	1884	2230
458	1889	2226
459	1892	2221
460	1895	2216
461	1899	2211
462	1902	2206
463	1907	2203
464	1910	2198
465	1913	2193
466	1917	2188
467	1922	2185
468	1925	2179
469	1928	2174
470	1931	2169
471	1935	2165
472	1939	2160
473	1942	2155
474	1946	2151
475	1950	2146
476	1955	2144
477	1958	2139
478	1962	2134
479	1965	2129
480	1970	2126
481	1974	2121
482	1977	2116
483	1980	2111
484	1987	2110
485	1990	2105
486	1993	2100
487	1996	2095
488	2002	2092
489	2005	2087
490	2008	2081
491	2011	2076
492	2016	2073
493	2020	2069
494	2023	2064
495	2026	2058
496	2029	2054
497	2035	2051
498	2038	2046
499	2041	2041
500	2044	2036
501	2049	2033
502	2052	2028
503	2055	2023
504	2060	2019
505	2064	2015
506	2068	2011
507	2071	2006
508	2075	2001
509	2080	1998
510	2084	1994
511	2087	1989
512	2090	1984
513	2095	1981
514	2100	1978
515	2103	1973
516	2106	1968
517	2112	1965
518	2116	1961
519	2120	1957
520	2124	1953
521	2131	1951
522	2134	1946
523	2137	1941
524	2141	1937
525	2147	1934
526	2150	1930
527	2155	1927
528	2161	1924
529	2165	1920
530	2169	1916
531	2173	1911
532	2179	1909
533	2182	1904
534	2186	1900
535	2189	1895
536	2195	1893
537	2201	1890
538	2205	1886
539	2211	1884
540	2215	1879
541	2219	1875
542	2227	1874
543	2231	1870
544	2237	1867
545	2243	1865
546	2246	1860
547	2250	1856
548	2254	1851
549	2259	1848
550	2262	1843
551	2265	1838
552	2269	1834
553	2274	1831
554	2277	1826
555	2281	1821
556	2284	1817
557	2290	1814
558	2293	1809
559	2296	1804
560	2301	1800
561	2306	1797
562	2310	1793
563	2313	1788
564	2316	1783
565	2321	1780
