iter	RMSE
0	1.567764764
1	1.517289316
2	1.473839981
3	1.436007351
4	1.394470137
5	1.356965687
6	1.323005446
7	1.285293703
8	1.254404606
9	1.222030435
10	1.193201803
11	1.161944386
12	1.136635955
13	1.105443679
14	1.079815149
15	1.055955485
16	1.029692975
17	1.004049706
18	0.9815831706
19	0.9604328061
20	0.9429916677
21	0.9216921341
22	0.9019597901
23	0.8830128603
24	0.8649037009
25	0.8476199989
26	0.829566359
27	0.8137998094
28	0.7993403767
29	0.7825435974
30	0.7688506797
31	0.7543737185
32	0.7425748299
33	0.7294426867
34	0.716360245
35	0.7031541599
36	0.6921956709
37	0.6805944157
38	0.6698240601
39	0.661397397
40	0.6513748779
41	0.6413744621
42	0.6334129433
43	0.6252603807
44	0.6169980702
45	0.6100300386
46	0.6024168872
47	0.5940471993
48	0.5874095472
49	0.5796063042
50	0.572290803
51	0.5660360945
52	0.5594223933
53	0.5536773553
54	0.5481770136
55	0.5422731086
56	0.5376887821
57	0.5328403295
58	0.528422648
59	0.5240642992
60	0.5187322636
61	0.5141117456
62	0.5093396474
63	0.5049112178
64	0.4999339552
65	0.4958396593
66	0.4923160292
67	0.4885243532
68	0.4847024308
69	0.4804977697
70	0.477833143
71	0.4747588666
72	0.471840794
73	0.4687292002
74	0.4649485458
75	0.461862318
76	0.4592330615
77	0.4562461578
78	0.4543621502
79	0.4521421885
80	0.4496597953
81	0.4478178107
82	0.4454913494
83	0.4423240617
84	0.4399182555
85	0.4374679724
86	0.4358728463
87	0.4341294906
88	0.4318799278
89	0.4303757317
90	0.4287875146
91	0.4271994527
92	0.4254960254
93	0.4239698983
94	0.4220390299
95	0.4205396194
96	0.4197171446
97	0.417971817
98	0.4162742787
99	0.4152683496
100	0.4139293527
101	0.4127196034
102	0.411529378
103	0.4103394764
104	0.409167678
105	0.4077730062
106	0.4063938852
107	0.4050866266
108	0.4038297288
109	0.4028996363
110	0.4021590094
111	0.4010780088
112	0.3999186674
113	0.3990584677
114	0.3980537467
115	0.3966405871
116	0.3957846105
117	0.3942232285
118	0.3933743809
119	0.3926450608
120	0.3918374061
121	0.3902773627
122	0.3890698974
123	0.3879275252
124	0.3868210854
125	0.3862590727
126	0.3852237871
127	0.3840163535
128	0.3832903694
129	0.3824461185
130	0.3817875189
131	0.3810916098
132	0.3805251054
133	0.379477698
134	0.3786316954
135	0.3773985114
136	0.3765241845
137	0.3757748796
138	0.3749956357
139	0.3745237741
140	0.3740669559
141	0.3729421702
142	0.3719443678
143	0.3711748922
144	0.3707420386
145	0.3700992417
146	0.369289005
147	0.3689056784
148	0.3682021986
149	0.3677186651
150	0.3671624185
151	0.3667574311
152	0.3660240364
153	0.3654196886
154	0.365003698
155	0.3644066543
156	0.3635584587
157	0.3628098227
158	0.3624768123
159	0.3619113348
160	0.3614219484
161	0.3608100905
162	0.3598374478
163	0.3590888601
164	0.3583787058
165	0.3577986932
166	0.3573799411
167	0.3568210525
168	0.3562108947
169	0.3556233584
170	0.3547990353
171	0.354024477
172	0.3530232216
173	0.3525489526
174	0.3519335421
175	0.3514737048
176	0.3509064132
177	0.3503008509
178	0.3499194173
179	0.3493182619
180	0.3489291406
181	0.3482209559
182	0.3477205057
183	0.3468722585
184	0.3459718324
185	0.3456242771
186	0.3451950891
187	0.3445487762
188	0.3435981732
189	0.3432207017
190	0.3424521895
191	0.3420275967
192	0.3415392263
193	0.3410946167
194	0.3406047692
195	0.3402243948
196	0.3397639214
197	0.339250321
198	0.3388082052
199	0.3381366349
200	0.3375420897
201	0.3370228179
202	0.3362617447
203	0.3355699652
204	0.3352073812
205	0.3347029075
206	0.3341870033
207	0.3337046546
208	0.3332332183
209	0.3326137692
210	0.3320963006
211	0.3315796446
212	0.3309741659
213	0.3304810046
214	0.3302014131
215	0.3295786268
216	0.3291559832
217	0.3286311619
218	0.3282823761
219	0.3276482438
220	0.3271816333
221	0.3261506859
222	0.3256586651
223	0.3253177406
224	0.3248290414
225	0.3243975885
226	0.3238859652
227	0.323423002
228	0.323002288
229	0.3227489178
230	0.3223596114
231	0.3219248406
232	0.3215728079
233	0.321161143
234	0.3207742633
235	0.3204563719
236	0.320016825
237	0.3194715387
238	0.319057173
239	0.3185814403
240	0.3180930147
241	0.3176379762
242	0.3173713396
243	0.3170687321
244	0.3165346801
245	0.3160960261
246	0.3158633993
247	0.3154053554
248	0.3151486298
249	0.3147049154
250	0.3144054515
251	0.3138845639
252	0.3136318703
253	0.3132062802
254	0.3126199044
255	0.3122493608
256	0.3120321386
257	0.3116113343
258	0.3110517853
259	0.310821996
260	0.3106164668
261	0.3102683574
262	0.3099233312
263	0.3095822975
264	0.309355987
